Refrigerant,C,C1,C2
R22,4.68,5.616,6.552
R134a,1.4,1.68,1.96
R407C,4.56,5.472,6.384
R410A,5.16,6.192,7.224
Isobutane,0.001,0.0012,0.0014
R417A,4.74,5.688,6.636
R422A,4.65,5.58,6.51
R438A,4.71,5.652,6.594
R422D,4.68,5.616,6.552
R513A,4.29,5.148,6.006
R1234yf,4.26,5.112,5.964
R1234ze(E),4.20,5.04,5.88
R450A,4.32,5.184,6.048
R407A,4.62,5.544,6.468
R161,4.65,5.58,6.51
R407F,4.59,5.508,6.426
R454B,5.19,6.228,7.266
R32,5.25,6.3,7.35
R452B,5.22,6.264,7.308
R454A,5.19,6.228,7.266
R454C,5.16,6.192,7.224
Propane,5.49,6.588,7.686
n-Butane,5.52,6.624,7.728
R404A,4.95,5.94,6.93
R448A,4.95,5.94,6.93
R449A,4.92,5.904,6.888
R452A,4.98,5.976,6.972
Ammonia,4.80,5.76,6.72
CO2,4.20,5.04,5.88
R12,5.40,6.48,7.56
R401A,4.29,5.148,6.006
R409A,4.26,5.112,5.964
R502,6.00,7.2,8.4
R402A,4.71,5.652,6.594
R408A,4.68,5.616,6.552
R507A,4.95,5.94,6.93
